amount,link
Ξ0.15,https://etherscan.io/tx/0x4f64eae836edf867b4d055b3a2137d29021b8506f0b1847f9c4934121f736455
Ξ0.05,https://etherscan.io/tx/0x3b668de8404d489ca94a840940f836f9ec1be89f6de21f63e91b1dff929b0855
Ξ0.07,https://etherscan.io/tx/0x17849f6a438f87a505c2b822aae6cd6cce33fcc8b73edaa1352001ab308addf5
Ξ0.5,https://etherscan.io/tx/0x11a1e086b35aaf83d4c6d01fe6a42f7df4cb27f197d9ae64f26b933c742dca11
Ξ0.09,https://etherscan.io/tx/0x2d715bb1702a1a2f6e3998c631183259724fe341acf2418323328ff260e8de04
Ξ0.1,https://etherscan.io/tx/0xc105062867cfed8792d6fbfcacd25c2ed93b42a5c5f10363fc0c089a60eb6c28
Ξ0.05,https://etherscan.io/tx/0x825116444e2e56de4b360737280015c237726b07c39ab2d3a8cd2962acf58abf
Ξ0.1,https://etherscan.io/tx/0x8143994b87eb52154205210d612dd68e1a420f36451630d4ad71ee95b7909a38
Ξ0.1,https://etherscan.io/tx/0xc85ea9f11c3727ebc9612fc5df0a70ff4acbf8c23efd357e1cf703688de48c38
Ξ0.05,https://etherscan.io/tx/0x9a781ced09ecfe938c7469c72d7925ff223c9ebe6363f6c2c803736db5b0221f
Ξ0.05,https://etherscan.io/tx/0xdc67b746287838ed1691a0dea18058b6314930fe060b6973fd2058ac22f31077
Ξ0.03,https://etherscan.io/tx/0x59709f6880d1b30956fa47ff564589862cde301cdf0a580c47f411cdcdb2cec8
Ξ0.04,https://etherscan.io/tx/0x4a62f823e74047447978b7cd21cccf1db00703904ef603b6b58914581f4d16d0
Ξ0.1,https://etherscan.io/tx/0x02ca5afaed2bf16239a2671b03e8766dac9436a39de02b83a4625965d344d519
Ξ0.1,https://etherscan.io/tx/0x6f100047d85904a4452e687245d6b5ba666110476a1b8fbc1cad5f77a863769d
Ξ0.08,https://etherscan.io/tx/0x762b95b960f2a3e801c865a4552d0d8e986186d5401103f28035fecde2b3b532
Ξ0.1,https://etherscan.io/tx/0x6c1d3d25ae204129c0e12ddccaeabdb7d0285a293cb6f0551ea4eea053583988
Ξ0.19,https://etherscan.io/tx/0x533fb13832a05fc86f681b08941bff43c0226a2890f65565e71d7b9d29ff8555
Ξ0.14,https://etherscan.io/tx/0x340a015ce75f141cf214ffe8a9070c51dce9427e1c3f6bf341ce8174623e0a3a
Ξ0.0077,https://etherscan.io/tx/0xd0464f6bbd3198afaa570b65f36abd6af866ac822b1d1e58d9d9d2f3bea1c954
Ξ0.0047,https://etherscan.io/tx/0xb730ee189278479f7498eeb65f6517a4857e59f99b6f9c52de5b65ad6020f554
Ξ0.003,https://etherscan.io/tx/0x099ac877568231a0bd091b6541409feb1b640123b2a9f31632e46bd1157d607b
Ξ0.3,https://etherscan.io/tx/0x6d387cd600b0d8fe7881b49f6ae8a382c9889ac2f1c7653f11b3db6140d92d49
Ξ0.1,https://etherscan.io/tx/0x6c745533b129056f5670661c0e7a3cdf1a850e7bfa7f10cd94ae09d607b376bf
Ξ0.01,https://etherscan.io/tx/0xcb9435d4810aa7ae3515b03a4b7463c7a88e1c80c7ed8cc0994d8db73681240f
Ξ0.02,https://etherscan.io/tx/0xbbc6d32688075535720e9c2993f9725a6047f9d8483c919390b5d2e321b16cdd
Ξ0.3,https://etherscan.io/tx/0x13a0ca9fd04bfd4ddd6dbda40d0bb0859aab82cdac0dbb4e75cc6bdbfbf7a3ca
Ξ0.2,https://etherscan.io/tx/0xe41060935ef468809d504e20a800f616db782f8507753518eaaa15245dad9034
Ξ0.01,https://etherscan.io/tx/0x7d8bd22dbc8bfc3c019698923ebe6a01a8643eab64700e755167b173a302b52c
Ξ0.1,https://etherscan.io/tx/0x204c8edd7e81b8702d5a4114dec4d4cfd0d487e47fbf4688445b6a5dfce80973
Ξ0.24,https://etherscan.io/tx/0x92b62bcb69b74bcefbd644111ee0ef01ae3d55b1d66f4b443531263d02703ee4
Ξ0.1,https://etherscan.io/tx/0x78b6cea17c817a19c430cb3d61285c486257f8bb90ca87753b289d77189779da
Ξ0.3,https://etherscan.io/tx/0x4c18d0a7a24ad8c7333193e00afd37344a56e1617ee3adf5148ca3dcfedd779e
Ξ0.0000,https://etherscan.io/tx/0x364e634d33c0179e57492194c1b61ab32f206341f0c78340fb759c702e8c2a30
Ξ0.005,https://etherscan.io/tx/0x262eac41e88b39067b82e464bff2e3fd28da8ae1793726e941920198614a9ae0
Ξ1.095,https://etherscan.io/tx/0x2f9c0edb33d0f68ce5e1b1ef2faefd83d1b48d7e72853de54a9e013de528fd8c
Ξ0.15,https://etherscan.io/tx/0xf69c77621c7f8e386fff515ecd44233dbb0fd01967024d1a7e57a520e6474a2e
Ξ0.015,https://etherscan.io/tx/0xe494ef817ad27e42832d7766c1ca6a1bfaa0f11795a32c54d17470ad7ad5943c
Ξ0.025,https://etherscan.io/tx/0xdefba8f7dc288afe480925a23538cdfe98c53fbccb881ddddda7f144a73371a3
Ξ0.005,https://etherscan.io/tx/0xa19960ed71c50dafaddf3740527f3465cd9958d270feff2fcb966d13dfcd65c4
Ξ0.05,https://etherscan.io/tx/0x840b91f684ef30fea41cd040ffe35ff55789be0c7f70387a9e870fca764f174d
Ξ0.38,https://etherscan.io/tx/0x5780f9171b55fc7da0d2f63b5e0e2ef6829aa75b41a9590ab7a399bd38b9641e
Ξ0.01,https://etherscan.io/tx/0x3502b2facbe2f8b1de7ea838bb32e3f65c6ce789c8649667e4c6bacfd8b8aa02
Ξ0.5,https://etherscan.io/tx/0x16b39f8b4633258d43731a8684e4cc237e9aeb7d7a3453c36f045233429416dc
Ξ0.1,https://etherscan.io/tx/0xf9ecdedc607d57e267a3cee1352c2576f4bac755048e355166aa3543c40f80b9
Ξ0.0235,https://etherscan.io/tx/0x995d1f940d7d89171d96c091a34d8da393e59102ec9b6dd6f2c16ca48fcb5b3d
Ξ0.25,https://etherscan.io/tx/0x8aaf95f7c6ccc06e16bf5323808a030179b39d7cc1024941a63973805b855be7
Ξ1,https://etherscan.io/tx/0x56943607b21397dce52a4f4fac7e9cd1a61155b4c50b6614bf6bc237d66b010c
Ξ0.1,https://etherscan.io/tx/0x5412fddcac763ebda7826103e86801804a5ba41abe3ddf200dddf5d8bb4ea84c
Ξ0.1,https://etherscan.io/tx/0x5a2b4d1454f7665e028251f85a830fa755f3fcc1005d7520d100370e33b59268
Ξ0.236,https://etherscan.io/tx/0x350238ed516416f7086eca58fe53fd70ada60d3449430ae940592882393b38dd
Ξ0.3,https://etherscan.io/tx/0x64323ae562597a9a75745a7276dc88da2fe627e9dd6ffd38aea00df976fe470f
Ξ0.5,https://etherscan.io/tx/0x47e2d82903a50509065e2c593468144eba2e8339d9b0c574a9e93353b3d3dea1
Ξ0.3,https://etherscan.io/tx/0x43a846b6716b56e8299be2fe484d559f7dfa233b165fef68331a84e2ab1d3cdb
Ξ0.3,https://etherscan.io/tx/0xc650c19cf52bbc862a59a8b2538f766e9595759baf9fa21fb1c861d53f080926
Ξ0.9,https://etherscan.io/tx/0xb77b0eb1ea5449d71d238cfe80b545835cee3530001cf7fc08c300553a59bc4c
Ξ0.1,https://etherscan.io/tx/0x8e5e5c12425bab18860be218259bbc11c0c35c2811338c9081d640c4aaa5ba70
Ξ1.7870,https://etherscan.io/tx/0x7e85d784eeda4cdd5a08293fc02b87c6601e693529ec9843bcb7e36dd6488d12
Ξ0.1,https://etherscan.io/tx/0xca562f6a513acecf27afce18456d2ed824013d972a786faafbc0863ab7d81d66
Ξ0.1,https://etherscan.io/tx/0x3616d28fe790a2999d5e8caa3268ea43a14e66356d0a8d7362c0841bd78b3d36
Ξ0.0117,https://etherscan.io/tx/0x58a396816f9593b892475123063e080d1a782dc4c3123c6a3e8aba1e5d00b5b6
Ξ0.0909,https://etherscan.io/tx/0x7de0ea71cb6acf3f07e90604896d671aeab23199701371cbf9be15bf196a2dc0
Ξ0.1,https://etherscan.io/tx/0x6f5e1279b3bd94492c9e1bad8a886365ffe5f0b23321c91de2faa3ddb65f138a
Ξ0.01,https://etherscan.io/tx/0x1cba503b2249be6025d1b3d88ed2165003c73f0847cfb8c9710e8a4d1db59516
Ξ0.01,https://etherscan.io/tx/0x4e05a4bcd87949803d6b77e411c3d3248fcc7cbe92bfcfa1128b0e76ded3dadf
Ξ0.005,https://etherscan.io/tx/0x1092520e13f6499e4b0b2fb5d1d5f08e0a5c16e89b5acf9b84832114bea49e88
Ξ0.1,https://etherscan.io/tx/0xfae89e1b2cad9e94bbdf456acfefe2b3bf406066697ba694e530f3379555eb44
Ξ0.01,https://etherscan.io/tx/0xcad9121517be4051184746171ffb4bf28c40e2bc4ba2878933dcb12a5dd3eb24
Ξ0.21,https://etherscan.io/tx/0x70ae1530004a8784f2ac2071dcc2b1ba9f7de31368601ee669d9f3bce238c93a
Ξ0.16,https://etherscan.io/tx/0x230a9ade294830aca69d5014518797dcd13e7cf61441fa98f0cbc354946b8ebb
Ξ0.01,https://etherscan.io/tx/0x83e06a5d1bf5abae9053f42d3b5120e5739b6f134397e2a7e371db97294071d0
Ξ0.05,https://etherscan.io/tx/0x85766b9895cc3118190f7deff79a966bc03a33536d9e317287ac6d7bc4510cb6
Ξ1,https://etherscan.io/tx/0x709462c7c83162512b0a031bdb87ca10a20d3b79551b9d2bee3fc0aed46b61c3
Ξ0.05,https://etherscan.io/tx/0xb87c740949f8849d7905957be2fcd62277c429103c077c21707d926f274d18bf
Ξ0.0473,https://etherscan.io/tx/0xbad6e637d02b9496d4f3a64642f0d0a2d98688bdac804f7c5ad38c4578a1a7f8
Ξ0.3,https://etherscan.io/tx/0x322d85a102a7864602af5e55d5def6552494bd37ff0a4ac319473863dbefcd12
Ξ0.105,https://etherscan.io/tx/0xe9a318063a59f2d11926eba4bfb8b5f885fa60f6015346b307cdf5e7cf03826b
Ξ0.25,https://etherscan.io/tx/0x4fdfb3d92cbe0379164db781051828fc7477f7ccc5dbe72a4704ef75bce60239
Ξ0.32,https://etherscan.io/tx/0x43294359eb3a7759558ae689b3b175f135576509c8c6d3d01c34ee8502c63020
Ξ0.2,https://etherscan.io/tx/0x76aa5cafa3dd95ee9bd03200fe3c63636668d835b1c89b5e421778d57e1459e2
